"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"AATM",1.2226,1.201,1.1889,1.1853,1.1832,1.1822,1.1821,1.182
"EFNB3",1.2159,1.1679,1.1575,1.154,1.1515,1.1508,1.1506,1.1506
"CFAH",1.2117,1.1813,1.1675,1.1706,1.1684,1.1675,1.1674,1.1675
"CATB",1.1977,1.1978,1.1822,1.1782,1.1777,1.1773,1.1773,1.1773
"CO6A1",1.1918,1.1327,1.1176,1.1188,1.1165,1.1156,1.1155,1.1155
"CATO",1.1851,1.1238,1.1085,1.1046,1.1028,1.1039,1.1044,1.1044
"APOA2",1.1736,1.1146,1.0993,1.0954,1.0943,1.0953,1.0953,1.0952
"KVD28",1.1729,1.1268,1.1146,1.1121,1.1107,1.1098,1.1098,1.1097
"NTRK2",1.1718,1.167,1.1566,1.1525,1.1504,1.1504,1.1503,1.1502
"A1AG2",1.1674,1.113,1.1124,1.1123,1.1124,1.1119,1.1119,1.1119
"PRDX2",1.1672,1.2153,1.2061,1.2026,1.2007,1.1998,1.1996,1.1996
"ALBU",1.1657,1.1122,1.0997,1.0961,1.099,1.1003,1.1005,1.1005
"SEM3G",1.1586,1.0981,1.0829,1.0792,1.0771,1.0762,1.0761,1.0761
"CHAD",1.1574,1.0984,1.1183,1.1145,1.1119,1.1125,1.1125,1.1126
"PGCB",1.1561,1.1177,1.1209,1.1172,1.1187,1.1187,1.1186,1.1185
"C1QT1",1.1561,1.1057,1.0928,1.0895,1.0875,1.0871,1.087,1.087
"PIMT",1.1544,1.1259,1.1139,1.1114,1.1144,1.1144,1.1143,1.1143
"LAMC1",1.1535,1.1203,1.1049,1.1024,1.1018,1.1029,1.1027,1.1027
"NCAN",1.142,1.2434,1.228,1.2274,1.2252,1.2256,1.2255,1.2254
"CO4B",1.1413,1.1607,1.1511,1.1525,1.15,1.1496,1.1494,1.1494
"CO7",1.1408,1.0812,1.0662,1.068,1.0663,1.0667,1.0665,1.0665
"KV127",1.1254,1.0821,1.0708,1.0684,1.066,1.0652,1.0652,1.0652
"VTNC",1.1197,1.2959,1.2823,1.2785,1.2757,1.2746,1.2745,1.2745
"CA2D1",1.116,1.0581,1.0451,1.0415,1.0417,1.0445,1.0444,1.0444
"LV151",1.1087,1.5005,1.5125,1.5095,1.5086,1.5079,1.5077,1.5077
"ROBO1",1.1065,1.0535,1.0476,1.0439,1.043,1.0423,1.0422,1.0422
"G3P",1.1044,1.0469,1.0342,1.0307,1.0316,1.0347,1.0348,1.0348
"CADH6",1.104,1.0484,1.0448,1.0413,1.0392,1.0396,1.0395,1.0395
"APOL1",1.0979,1.1246,1.1481,1.1441,1.1418,1.1409,1.1407,1.1407
"TIMP2",1.0969,1.0647,1.051,1.0486,1.0474,1.0465,1.0465,1.0465
"DSG2",1.0956,1.062,1.0485,1.0451,1.0435,1.0456,1.0454,1.0454
"CAD13",1.0908,1.0379,1.0813,1.0795,1.0781,1.0801,1.08,1.08
"PON1",1.0838,1.0575,1.0564,1.0546,1.0538,1.0541,1.054,1.054
"FGFR2",1.0739,1.0479,1.0336,1.031,1.0292,1.0284,1.0286,1.0286
"APLP2",1.067,1.0134,1.0184,1.0151,1.0153,1.0144,1.0145,1.0145
"THY1",1.0651,1.0517,1.0497,1.0471,1.0449,1.0448,1.0446,1.0446
"GAS6",1.061,1.0061,0.99225,0.99287,0.99405,0.99428,0.99506,0.99515
"NRX3A",1.0586,1.0085,1.0025,1.0184,1.016,1.0164,1.0162,1.0162
"LAMP2",1.0584,1.0162,1.0049,1.0109,1.0114,1.0109,1.0109,1.0109
"IGHG3",1.0498,1.1749,1.1589,1.155,1.1524,1.1517,1.152,1.152
"RL24",1.0454,0.99133,0.9782,0.97604,0.97766,0.97708,0.97708,0.97718
"NAR3",1.0427,1.0565,1.046,1.0423,1.0427,1.0422,1.0422,1.0421
"TIMP1",1.0388,1.0085,1.0208,1.0174,1.0214,1.0211,1.021,1.021
"LCAT",1.037,0.99666,0.98496,0.99247,0.99081,0.9916,0.99161,0.99159
"CLC11",1.0338,0.98251,1.0049,1.0046,1.0031,1.0023,1.0025,1.0025
"DPP6",1.0334,1.012,1.0072,1.0037,1.0023,1.0026,1.0027,1.0027
"ANGI",1.0325,1.082,1.069,1.0653,1.0678,1.0672,1.067,1.067
"IGJ",1.0318,0.99652,1.0185,1.015,1.0144,1.0138,1.0149,1.0149
